index_code,date,open,close,low,1,volume,money,change
sh000001,1990/12/20,2,104.39,99.98,2,197000,85000,0.044108822
sh000001,1990/12/21,3,109.13,103.73,3,28000,16100,0.045406648
sh000001,1990/12/24,4,114.55,109.13,4,32000,31100,0.049665537
sh000001,1990/12/25,5,120.25,114.55,5,15000,6500,0.04975993
sh000001,1990/12/26,6,125.27,120.25,6,100000,53700,0.041746362
sh000001,1990/12/27,7,125.28,125.27,7,66000,104600,7.98E-05
sh000001,1990/12/28,8,126.45,125.28,8,108000,88000,0.00933908
sh000001,1990/12/31,9,127.61,126.48,9,78000,60000,0.009173586
sh000001,1991/1/2,10,128.84,127.61,10,91000,59100,0.009638743
sh000001,1991/1/3,11,130.14,128.84,11,141000,93900,0.010090034
sh000001,1991/1/4,12,131.44,130.14,12,420000,261900,0.009989242
sh000001,1991/1/7,13,132.06,131.45,13,217000,141700,0.004716981
sh000001,1991/1/8,14,132.68,132.06,14,2926000,1806900,0.004694836
sh000001,1991/1/9,15,133.34,132.68,15,5603000,3228700,0.004974374
sh000001,1991/1/10,16,133.97,133.34,16,9990000,5399500,0.004724764
sh000001,1991/1/11,17,134.6,134.51,17,13327000,7115700,0.004702545
sh000001,1991/1/14,18,134.67,134.11,18,12530000,6883600,0.000520059
sh000001,1991/1/15,19,134.74,134.19,19,1446000,1010400,0.000519789
sh000001,1991/1/16,20,134.24,134.14,20,509000,270100,-0.003710851
sh000001,1991/1/17,21,134.25,133.65,21,658000,334200,7.45E-05
sh000001,1991/1/18,22,134.24,133.67,22,3004000,1570800,-7.45E-05
sh000001,1991/1/21,23,134.24,133.66,23,2051000,1029300,0
sh000001,1991/1/22,24,133.72,133.66,24,354000,180800,-0.003873659
sh000001,1991/1/23,25,133.17,133.14,25,1095000,575900,-0.004113072
sh000001,1991/1/24,26,132.61,132.57,26,1857000,917400,-0.004205151
sh000001,1991/1/25,27,132.05,132.03,27,3447000,1722200,-0.004222909
sh000001,1991/1/28,28,131.46,131.46,28,5107000,2565600,-0.004468005
sh000001,1991/1/29,29,130.95,130.95,29,1387000,710700,-0.003879507
sh000001,1991/1/30,30,130.44,130.41,30,527000,260700,-0.003894616
sh000001,1991/1/31,31,129.97,129.93,31,510000,244700,-0.003603189
sh000001,1991/2/1,32,129.51,129.45,32,345000,140900,-0.003539278
sh000001,1991/2/4,33,129.05,129.05,33,553000,273700,-0.003551849
sh000001,1991/2/5,34,128.58,128.53,34,8562000,4250100,-0.003641999
sh000001,1991/2/6,35,129.14,128.06,35,6641000,3847300,0.004355265
sh000001,1991/2/7,36,129.79,129.14,36,2133000,1504800,0.005033297
sh000001,1991/2/8,37,130.38,129.79,37,1234000,879900,0.004545805
sh000001,1991/2/11,38,130.97,130.39,38,9317000,4834900,0.004525234
sh000001,1991/2/12,39,131.35,130.97,39,3774000,1987000,0.002901428
sh000001,1991/2/13,40,131.92,131.35,40,1152000,673700,0.004339551
sh000001,1991/2/14,41,132.53,132.3,41,3624000,1883100,0.004624015
sh000001,1991/2/19,42,133.13,133.08,42,1748000,1216200,0.004527277
sh000001,1991/2/20,43,133.67,133.13,43,876000,520700,0.004056186
sh000001,1991/2/21,44,134.28,133.67,44,3220000,1771700,0.004563477
sh000001,1991/2/22,45,134.87,134.28,45,3427000,2003800,0.004393804
